#rho0,E/A
1.572933102117279602e-01,-1.576550411880430502e+01
1.558841053979856672e-01,-1.577874698692463440e+01
1.569634592383005178e-01,-1.583547476503597906e+01
1.570740629468249383e-01,-1.573811364455304584e+01
1.557333197388294788e-01,-1.572961626968902671e+01
1.561281683665431408e-01,-1.577302067322172618e+01
1.575315901790344808e-01,-1.576349632714336124e+01
1.560679520012287214e-01,-1.576257815942255291e+01
1.550127649071316172e-01,-1.573377986388883443e+01
1.561635133241215112e-01,-1.580811421427706520e+01
1.571930179888849088e-01,-1.575413759175331307e+01
1.558433949288401954e-01,-1.573749460252738253e+01
1.565351125279706712e-01,-1.577583437941433253e+01
1.576170603416759408e-01,-1.579831246957226831e+01
1.576083730586072540e-01,-1.577305023717757848e+01
1.550968430827336375e-01,-1.571662525197855231e+01
1.572721155198044396e-01,-1.578788082900880951e+01
1.560069172120052416e-01,-1.576048647508321210e+01
1.562258257399196937e-01,-1.570206206794059156e+01
1.562917689556639622e-01,-1.576231796149543740e+01
1.562493756621555763e-01,-1.574421891819748431e+01
1.556680307124465590e-01,-1.575000088636213036e+01
1.562890049003492210e-01,-1.576029684007452047e+01
